Name,Parameters,Examples,Description,Notes,Version Added
cavalry,<scope>The country scope the cavalry belongs to,"capital_scope = {
    cavalry = FRA
}",Spawns an cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.1
mercenary_cavalry,<scope>The country scope the mercenary cavalry belongs to,"capital_scope = {
    mercenary_cavalry = FRA
}",Spawns a mercenary cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.11
cossack_cavalry,<scope>The country scope the cossack cavalry belongs to,"capital_scope = {
    cossack_cavalry = ZAZ
}",Spawns a cossack cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.33
hussars_cavalry,<scope>The country scope the hussars cavalry belongs to,"capital_scope = {
    hussars_cavalry = POL
}",Spawns a hussars cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.35
revolutionary_guard_cavalry,<scope>The country scope the revolutionary cavalry belongs to,"capital_scope = {
    revolutionary_guard_cavalry = FRA
}",Spawns a revolutionary cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.35
banner_cavalry,<scope>The country scope the banner cavalry belongs to,"capital_scope = {
    banner_cavalry = MCH
}",Spawns a banner cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.35
qizilbash_cavalry,<scope>The country scope the qizilbash cavalry belongs to,"capital_scope = {
    qizilbash_cavalry = PER
}",Spawns a qizilbash cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.36
mamluks_cavalry,<scope>The country scope the mamluks cavalry belongs to,"capital_scope = {
    mamluks_cavalry = MAM
}",Spawns a mamluks cavalry unit in the current province scope for the defined country scope.,Uses the currently selected cavalry unit.,1.36
infantry,<scope>The country scope the infantry belongs to,"capital_scope = {
    infantry = FRA
}",Spawns an infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.1
mercenary_infantry,<scope>The country scope the mercenary infantry belongs to,"capital_scope = {
    mercenary_infantry = FRA
}",Spawns an mercenary infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.11
streltsy_infantry,<scope>The country scope the streltsy infantry belongs to,"capital_scope = {
    streltsy_infantry = FRA
}",Spawns an streltsy infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.22
rajput_infantry,<scope>The country scope the rajput infantry belongs to,"capital_scope = {
    rajput_infantry = FRA
}",Spawns a rajput infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.26
cawa_infantry,<scope>The country scope the cawa infantry belongs to,"capital_scope = {
  cawa_infantry = ETH
}",Spawns a cawa infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.32
carolean_infantry,<scope>The country scope the carolean infantry belongs to,"capital_scope = {
	carolean_infantry = ROOT
}",Spawns a carolean infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.34
marine_infantry,<scope>The country scope the marine infantry belongs to,"capital_scope = {
    marine_infantry = FRA
}",Spawns a marine infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.30
janissary_infantry,<scope>The country scope the janissary infantry belongs to,"capital_scope = {
    janissary_infantry = TUR
}",Spawns a janissary infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
revolutionary_guard_infantry,<scope>The country scope the revolutionary infantry belongs to,"capital_scope = {
   revolutionary_guard_infantry=FRA
}",Spawns a revolutionary infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
tercio_infantry,<scope>The country scope the tercio infantry belongs to,"capital_scope = {
    tercio_infantry = SPA
}",Spawns a tercio infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
musketeer_infantry,<scope>The country scope the musketeer infantry belongs to,"capital_scope = {
    musketeer_infantry = FRA
}",Spawns a musketeer infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
samurai_infantry,<scope>The country scope the samurai infantry belongs to,"capital_scope = {
    samurai_infantry = JAP
}",Spawns a samurai infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
cossack_infantry,<scope>The country scope the cossack infantry belongs to,"capital_scope = {
    cossack_infantry = ZAZ
}",Spawns a cossack infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
banner_infantry,<scope>The country scope the banner infantry belongs to,"capital_scope = {
    banner_infantry = MCH
}",Spawns a banner infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.35
qizilbash_infantry,<scope>The country scope the qizilbash infantry belongs to,"capital_scope = {
    qizilbash_infantry = PER
}",Spawns a qizilbash infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.36
mamluks_infantry,<scope>The country scope the mamluks infantry belongs to,"capital_scope = {
    mamluks_infantry = MAM
}",Spawns a mamluks infantry unit in the current province scope for the defined country scope.,Uses the currently selected infantry unit.,1.36
heavy_ship,<scope>The country scope the ship belongs to,"random_owned_province = {
    limit = { has_port = yes }
    heavy_ship = FRA
}",Spawns a heavy ship unit in the current province scope for the defined country scope.,Uses the defined scope's current heavy ship unit.Requires the current province scope to have a port.,1.1
man_of_war_heavy,<scope>The country scope the ship belongs to,"capital_scope = {
    man_of_war_heavy = GBR
}",Spawns a man of war heavy ship unit in the current province scope for the defined country scope.,Uses the defined scope's current heavy ship unit.Requires the current province scope to have a port.,1.35
galleon_heavy,<scope>The country scope the ship belongs to,"capital_scope = {
    galleon_heavy = SPA
}",Spawns a galleon heavy ship unit in the current province scope for the defined country scope.,Uses the defined scope's current heavy ship unit.Requires the current province scope to have a port.,1.35
create_flagship,"<scope>The province scope in which the flagship spawns.
          name = ""Vittoria""
          type = galley","random_owned_province = {
    limit = { has_port = yes }
    ROOT = {
            create_flagship = {
                name = ""Vittoria""
                type = galley
            }
    }
}",Spawns a flagship unit for the current scope in the defined province scope.,"Types light_ship, galley, heavy_ship and transport.Requires the province scope to have a port.",1.28
light_ship,<scope>The country scope the ship belongs to,"random_owned_province = {
    limit = { has_port = yes }
    light_ship = FRA
}",Spawns an light ship unit in the current province scope for the defined country scope.,Uses the defined scope's current light ship unit.Requires the current province scope to have a port.,1.1
man_of_war_light,<scope>The country scope the ship belongs to,"capital_scope = {
    man_of_war_light = GBR
}",Spawns a man of war light ship unit in the current province scope for the defined country scope.,Uses the defined scope's current light ship unit.Requires the current province scope to have a port.,1.35
caravel_light,<scope>The country scope the ship belongs to,"capital_scope = {
    caravel_light = SPA
}",Spawns a caravel light ship unit in the current province scope for the defined country scope.,Uses the defined scope's current light ship unit.Requires the current province scope to have a port.,1.35
voc_indiamen_light,<scope>The country scope the ship belongs to,"capital_scope = {
    voc_indiamen_light = NED
}",Spawns a voc indiamen light ship unit in the current province scope for the defined country scope.,Uses the defined scope's current light ship unit.Requires the current province scope to have a port.,1.35
galley,<scope>The country scope the ship belongs to,"random_owned_province = {
    limit = { has_port = yes }
    galley = FRA
}",Spawns an galley ship unit in the current province scope for the defined country scope.,Uses the defined scope's current galley ship unit.Requires the current province scope to have a port.,1.1
geobukseon_galley,<scope>The country scope the ship belongs to,"capital_scope = {
    geobukseon_galley = KOR
}",Spawns a geobukseon galley ship unit in the current province scope for the defined country scope.,Uses the defined scope's current galley ship unit.Requires the current province scope to have a port.,1.35
galleass_galley,<scope>The country scope the ship belongs to,"capital_scope = {
    galleass_galley = VEN
}",Spawns a galleass galley ship unit in the current province scope for the defined country scope.,Uses the defined scope's current galley ship unit.Requires the current province scope to have a port.,1.35
transport,<scope>The country scope the ship belongs to,"random_owned_province = {
    limit = { has_port = yes }
    transport = FRA
}",Spawns an transport ship unit in the current province scope for the defined country scope.,Uses the defined scope's current transport ship unit.Requires the current province scope to have a port.,1.1
<unit name>,<scope>The country scope the unit belongs to,"capital_scope = {
    british_redcoat = FRA
}",Spawns a specific unit in the current province scope for the defined country scope.,Units can be found in/Europa Universalis IV/common/units/*.txt.,1.1
kill_leader,<type>The leader type to kill.nameis the specific leader name to target.,"kill_leader = generalkill_leader = randomkill_leader = ""John Smith",Kills a leader in the current province scope if they match the type used.,Only works if the leader is assigned to a unit that is stationed in the current province.Possible types:generaladmiralconquistadorexplorerrandom<leader name>,1.1
kill_units,who = <scope>Optional. Which country scopes should be affected.type = <type>Optional. Which type of units that should be affected.amount = <int>Optional. The specific amount to kill.,"kill_units = {
    who = enemy
}kill_units = {
    who = owner
    type = infantry
}kill_units = {
    who = controller
    type = artillery
    amount = 5
}",Kills units following the defined parameters in the current province scope.,"In thewhoparameter, you can useenemy,ownerandcontroller.When used with no parameters, will kill all units within the current province scope.Possible types:infantrycavalryartilleryheavy_shiplight_shipgalleytransport<unit_name>",1.12
add_unit_construction,type = <type>Which type of unit to build.amount = <int>The amount to build.speed = <float>The speed percentage of the base unit construction speed to use.cost = <float>The cost percentage of the base unit construction cost to use.mercenary = yesOptional. Makes the constructed units mercenaries.,"add_unit_construction = {
    type = light_ship
    amount = 20
    speed = 0.1
    cost = 0
}",Constructs the defined units in the current province scope.,Possible types:infantrycavalryartilleryheavy_shiplight_shipgalleytransport<unit_name>,1.1
build_to_forcelimit,<type> = <float>The type is any of the base unit types. The value is the percentage of forcelimit.,"build_to_forcelimit = {
    heavy_ship = 0.3
    light_ship = 0.3
    transport = 0.2
}",Builds the defined units as a percentage of the owner's forcelimit in the current province scope.,1 is equal to 100% of the owner's forcelimit.Possible types:infantrycavalryartilleryheavy_shiplight_shipgalleytransport<unit_name>,1.1
remove_loot,who = <scope>The country scope that receives the loot.amount = <int>The amount of loot to take.,"remove_loot = {
    who = ROOT
    amount = 5
}",Removes loot from the current province scope and grants it to the defined country scope.,"Thewhoparameter acceptsenemy, which distributes the loot to all current enemies of the province owner.",1.15
change_siege,<int>The process adjustment to add or subtract.,change_siege = 5,Changes the siege progress in the current province scope.,,1.1
clear_rebels,yesBoolean,clear_rebels = yes,Clears all rebels in the current province scope.,,1.29
recall_merchant,<scope>The country scope to use.,recall_merchant = FRA,Recalls a placed merchant in the current tradenode province scope.,Only works when the current province scope is the location of a tradenode center.,1.1
add_trade_node_income,<int>The amount to add or subtract.,add_trade_node_income = 10,Gives money to the country based on its trade income in the node.,Only works when the current province scope is the location of a tradenode center.,1.1
add_trade_modifier,who = <scope>The country scope that receives the modifier.duration = <days>The duration of the modifier.power = <float>The amount of trade power to add or subtract.key = <string>The key to display as the modifier in the tooltip.,"add_trade_modifier = {
    who = ROOT
    duration = 5475
    power = 15
    key = STRONG_MERCHANTS
}",Adds a trade modifier for the defined country scope in the current tradenode province scope.,Can be added to any province within a tradenode.,1.1
remove_trade_modifier,who = <scope>The country scope that has the trade modifier.name = <string>The trade modifier to remove.,"remove_trade_modifier = {
    who = ROOT
    key = STRONG_MERCHANTS
}",Removes a trade modifier for the defined country scope in the current tradenode province scope.,,1.1
add_to_trade_company,<scope>The country scope to use.,add_to_trade_company = ROOT,Adds province to scopes trade company.will remove state first if it exists.,Will remove state first if it exists.,1.26
add_trade_company_investment,investment = <investment_key>The investment to make.investor = <scope>The country investing.,"south_lanka_area = {
    add_trade_company_investment = {
        investor = ROOT
        investment = company_warehouse
    }
}",Adds a trade company investment in the provinces area.,investment keys are found in common/tradecompany_investments,1.26
center_of_trade,<int>Center of trade level.,center_of_trade = 2,Creates a center of trade in the province. Only works if there is no existing center of trade.,,1.27
add_center_of_trade_level,<int>Amount to increase center of trade level.,add_center_of_trade_level = 1,Increases the level of a center of trade in the province. A negative number decreases the level of the center of trade.,,1.27
