Value,Type,Description,Scope,Example
same_trade_node,Scope,Returns true if the current province scope is in the same trade node as the specified province scope.,Province,"capital_scope = {
        same_trade_node = event_target:my_trade_port
    }"
secondary_religion,Identifier,Returns true thesecondary religionof the country is X.,Country,secondary_religion = ibadi
secondary_religion_group,Identifier,Returns true if the secondary religion of the country is in X religion group.,Country,secondary_religion_group = muslim
senior_union_with,"Tag, Scope",Returns true if the country is the senior partner in apersonal unionover country X.,Country,senior_union_with = HAB
sieged_by,"Tag, Scope",Returns true if the province is being besieged by country X.,Province,sieged_by = ROOT
splendor,Integer,"Returns true, if the country has at least X splendor.",Country,splendor = 800
stability,Integer,Returns true if the country has astabilityof at least X.,Country,stability = 1
stability,"Tag, Scope",Returns true if the country has at least as much stability as the specified country.,Country,stability = HAB
start_date,Date,Returns true if thestart dateof the campaign is X.,Anywhere,start_date = 1776.7.4
started_in,Date,Returns true if thestart dateof the campaign is X or after.,Anywhere,started_in = 1776.7.4
statists_vs_orangists,Float,Returns true ifStatistsvsOrangistsis at least X.,Country,statists_vs_orangists = 0.9
subject_owns,Scope,Returns true if a subject owns the specified province scope,Country,subject_owns = 183
subsidised_percent_amount,Float,Returns true if thecountryreceivessubsidiesof at least X% of its monthly income.,Country,"subsidised_percent_amount = { 
        value = 0.5
    }"
succession_claim,"Tag, Scope",Returns true if the country hasclaimed the throneof the country X.,Country,succession_claim = FROM
superregion,Identifier,Returns true if the province belongs to thesuperregionX.,Province,superregion = east_indies_superregion
tag,"Tag, Scope",Returns true if thecountryis the specified country.,Country,tag = HAB
tariff_value,Float,Returns true if thecolonial nationpays at least X% tariffs.,Country,tariff_value = 0.25
tax_income_percentage,Float,Returns true if the ratio of tax income to total income is at least X.,Country,tax_income_percentage = 0.2
tech_difference,Integer,Returns true if the scoped country is at least X technologies ahead (compared to the country).,Country,"any_neighbor_country = {
        tech_difference = 3
    }"
technology_group,Identifier,Returns true if the country has thetechnology groupX.,Country,technology_group = western
technology_group,Scope,Returns true if the countries have the same technology group.,Country,technology_group = PREV
tolerance_to_this,Integer,Returns true if the country has a tolerance of at least X towards the religion of the country or scoped province.,Country Province,tolerance_to_this = 0
total_base_tax,Integer,Returns true if thebase taxof the country's provinces totals at least X.,Country,total_base_tax = 75
total_base_tax,"Tag, Scope",Returns true if the country has at least as much total base tax as the specified country.,Country,total_base_tax = MNG
total_development,Integer,Returns true if the country has atotal developmentof at least X.,Country,total_development = 200
total_development,"Tag, Scope",Returns true if the country has moretotal developmentthan the specified country.,Country,total_development = HUN
total_losses_in_won_wars,Clause,Returns true if the country specified bylooserhas lost at least the amount of troops specified bycasualtiesin wars lost against the country specified bywinner. Both have to be primary targets.,Anywhere,"total_losses_in_won_wars = {
        winner = NPL
        looser = PRU
        casualties = 100000
    }"
total_number_of_cardinals,Integer,Returns true if the total number ofcardinalsis at least X.,Anywhere,total_number_of_cardinals = 49
total_own_and_non_tributary_subject_development,Integer,Returns true if the country and itsnon-tributary subjectshave at least X Total development.,Country,total_own_and_non_tributary_subject_development = 300
total_own_and_non_tributary_subject_development,"Tag, Scope",Returns true if the country and its non-tributary subjects have moreTotal developmentthan the specified country and its non-tributary subjects.,Country,total_own_and_non_tributary_subject_development = FRA
trade_company_region,Identifier,Returns true if theprovinceis in thetrade companyregion.,Province,trade_company_region = trade_company_moluccas
trade_company_size,Integer,Returns true if thetrade companyhas at least X provinces.,Province,trade_company_size = 5
trade_efficiency,Float,Returns true if the country has atrade efficiencyover X.,Country,trade_efficiency = 0.50
trade_embargo_by,"Tag, Scope",Returns true if country X isembargoingthe country.,Country,trade_embargo_by = HAB
trade_embargoing,"Tag, Scope",Returns true if the country isembargoingcountry X.,Country,trade_embargoing = HAB
trade_goods,Identifier,Returns true if the province is producing thetrade goodX.,Province,trade_goods = fur
trade_goods_produced_amount,Clause,Returns true if country X is producing amount Y oftrade goodZ.,Country,"trade_goods_produced_amount = {
        trade_goods = grain
        amount = 25
    }"
trade_income_percentage,Float,Returns true if the ratio of trade income to total income is at least X.,Country,trade_income_percentage = 0.10
trade_league_embargoed_by,"Tag, Scope",Description needed,Country,trade_league_embargoed_by = FROM
trade_node_value,Float,Returns true iftotal trade valuein the node is at least X.,Province (Trade Node),"1744 = { #Antwerpen
        trade_node_value = 50
    }"
trade_range,"Tag, Scope",Returns true if the trade node is within thetrade rangeof the specified country.,Province(Trade node),trade_range = ENG
trade_share,Clause,Returns true if the country controls at least X% of thetradein the specifiedtrade node.,Province(Trade node),"1744 = { #Antwerpen
        trade_share = {
            country = NED
            share = 25
        }
    }"
trading_bonus,Clause,Returns true if the country has the ‘trading in’ bonus of the specified trade good.,Country,"trading_bonus = {
        trade_goods = coffee
        value = yes
    }"
trading_part,Clause,Returns true if the country has access to X% of the world market of the specifiedtrade good.,Country,"trading_part = {
        trade_goods = cocoa
        value = 0.05
    }"
trading_policy_in_node,Clause,"Returns true, if the country has the specified trading policy in the specified trade node. Can also use ""policy = any"".",Country,"any_active_trade_node = {
        ROOT = {
            trading_policy_in_node = {
                node = PREV
                policy = propagate_religion
            }
        }
    }"
transfers_trade_power_to,"Tag, Scope",Returns true if the country transfers trade power to country X.,Country,transfers_trade_power_to = FRA
transport_fraction,Float,Returns true if the ratio of thetransportfraction to the navy size of the country is at least X.,Country,transport_fraction = 0.55
transports_in_province,Integer,Returns true if there are at least Xtransportsin the province.,Province,transports_in_province = 10
transports_in_province,"Tag, Scope",Returns true if there are transports from the specified country in the province.,Province,transports_in_province = TER
treasury,Integer,Returns true if country's treasury contains at least X ducats.,Country,treasury = 100
treasury,"Tag, Scope",Returns true if the country has at least as much ducats in its treasury as the specified country.,Country,treasury = ROOT
tribal_allegiance,Integer,"Returns true, if the country has a tribal allegiance of at least X.",Country,tribal_allegiance = 10
tribal_development,Integer,"Returns true, if the country or province has at least X tribal development","Province, Country",tribal_development = 50
tribal_development,"Tag, Scope","Returns true, if the country has more development than the specified country",Country,tribal_development = DAN
tribal_land_of,"Tag, Scope","Returns true, if the province is tribal land of the specified countryAnything that is not a valid tag will check for 'not tribal land'",Province,tribal_land_of = ROOT
truce_with,"Tag, Scope",Returns true if the country has atrucewith X.,Country,truce_with = FRA
trust,"Tag, Scope",Returns true if the current scope has a trust level of at least X with the specified tag.,Country,trust = { who = FRA value = 50 }
unit_has_leader,yes,Returns true if any unit is in the province has a leader.Warning: Works only with 'yes'.,Province,unit_has_leader = yes
unit_in_battle,Boolean,Returns true if any unit in the province is in a battle.,Province,unit_in_battle = no
unit_in_siege,Boolean,Returns true if any unit in the province is in a siege.,Province,unit_in_siege = yes
unit_type,Identifier,Returns true if the country has units of type X.,Country,unit_type = sub_saharan
units_in_province,Integer,Returns true if there are at least X units in the province.,Province,units_in_province = 1
units_in_province,"Tag, Scope",Returns true if the specified country has units in the province.,Province,units_in_province = RUS
unrest,Integer,"Returns true if theunrestin the province is at least X. If it is used in a country scope, it checks for the global_unrest modifier","Province, Country",unrest = 3
uses_authority,Boolean,Returns true if the country usesauthoritymechanics.,Country,uses_authority = yes
uses_blessings,Boolean,Returns true if the country usesblessingsmechanics.,Country,uses_blessings = yes
uses_church_aspects,Boolean,Returns true if the country useschurch aspectsmechanics.,Country,uses_church_aspects = yes
uses_cults,Boolean,Returns true if the country usescultsmechanics.,Country,uses_cults = yes
uses_devotion,Boolean,"Returns true, if the country uses devotion instead of legitimacy.",Country,uses_devotion = yes
uses_doom,Boolean,Returns true if the country usesdoommechanics.,Country,uses_doom = yes
uses_fervor,Boolean,Returns true if the country usesfervormechanics.,Country,uses_fervor = yes
uses_isolationism,Boolean,"Returns true, if the country uses the isolationism mechanic.",Country,uses_isolationism = yes
uses_karma,Boolean,Returns true if the country useskarmamechanics.,Country,uses_karma = yes
uses_papacy,Boolean,Returns true if the country usespapacymechanics.,Country,uses_papacy = yes
uses_patriarch_authority,Boolean,Returns true if the country usespatriarch authoritymechanics.,Country,uses_patriarch_authority = yes
uses_personal_deities,Boolean,Returns true if the country usespersonal deitiesmechanics.,Country,uses_personal_deities = yes
uses_piety,Boolean,Returns true if the country usespietymechanics.,Country,uses_piety = yes
uses_religious_icons,Boolean,"Returns true, if the country uses religious icons.",Country,uses_religious_icons = yes
uses_syncretic_faiths,Boolean,Returns true if the country usessyncretic faithsmechanics.,Country,uses_syncretic_faiths = yes
variable_arithmetic_trigger,Clause,"Can use variable effects and triggers to compare or change and compare modifier and trigger values. ""variable_arithmetic_trigger"" sections can include more ""variable_arithmetic_trigger"" sections. This has to be done for effects such as ""change_variable"" or effects of ""if"" sections inside the ""variable_arithmetic_trigger"", since the game may crash otherwise.",Anywhere,"variable_arithmetic_trigger = {
        custom_tooltip = from_total_development_is_10_times_bigger_than_ours
        export_to_variable = {
            which = our_total_development
            value = trigger_value:total_development
        }
        export_to_variable = {
            which = from_total_development
            value = trigger_value:total_development
            who = FROM
        }
        multiply_variable = { which = from_total_development value = 10 }
        
        check_variable = { which = from_total_development which = our_total_development }
    }"
vassal_of,"Tag, Scope",Returns true if the country is avassalof country X.,Country,vassal_of = ROOT
war_exhaustion,Integer,Returns true if the country has awar exhaustionof at least X.,Country,war_exhaustion = 8
war_exhaustion,"Tag, Scope",Returns true if the country has at least as much war exhaustion as the specified country.,Country,war_exhaustion = NPL
war_score,Integer,Returns true if the coutry has awarscoreof at least X%.,Country,war_score = 100
war_score_against,Clause,Returns true if the coutry has awarscoreof at least X against the specified country.,Country,"war_score_against = {
        who = INC
        value = 75
    }"
war_with,"Tag, Scope",Returns true if the country is atwarwith country X.,Country,war_with = INC
was_player,Boolean,Returns true if the country was controlled by a human player.,Country,was_player = no
was_tag,Country,Returns true if the country was a particular tag.,Country,was_tag = MUG
will_back_next_reform,Boolean,Returns true if the member of the HRE is backing the nextimperial reform.,Country,will_back_next_reform = yes
yearly_corruption_increase,Float,Returns true if the country has a yearlycorruptionincrease of at least X.,Country,NOT = { yearly_corruption_increase = 0.001 }
years_in_union_under,Clause,Returns true if the country is in apersonal unionunder the specified country for at least X years.,Country,"years_in_union_under = {
        who = ROOT
        years = 50
    }"
years_in_vassalage_under,Clause,Returns true if the country is avassalof the specified country for at least X years.,Country,"years_in_vassalage_under = {
        who = ROOT
        years = 10
    }"
years_of_income,Float,Returns true if the country's treasury contains ducats of at least X times their yearly income.,Country,years_of_income = 1.0
years_of_income,"Tag, Scope",Returns true if the country's treasury contains ducats of at least the yearly income of the specified country.,Country,years_of_income = SER
years_of_manpower,Float,Returns true if the country's manpower pool contains at least X years of manpower.,Country,years_of_manpower = 2.5
years_of_sailors,Float,Returns true if the country's sailor pool contains at least X years of sailors.,Country,years_of_sailors = 2.5
